GrapNet	arxiv	arxiv:2606.18923; paper-only, no implementation located in sweep	dynamic executable architecture graph: GrapNode vector parent interfaces	float32	programmable dynamic neural graph substrate	programmable-neural-graph/continual-learning	2026	arXiv:2606.18923; date=2026-06-17; distinct primitive: network topology is an editable executable child-owned graph with trainable allocation vectors and topology edits reflected in parameter coordinates; grep-verified absent via GrapNet/GrapNode/dynamic-architecture neural graph/graph-as-network.
nvidia:MambaVision-L3-512-21K	huggingface_remote_code	transformers.AutoModelForImageClassification.from_config(transformers.AutoConfig.from_pretrained('nvidia/MambaVision-L3-512-21K', trust_remote_code=True))	(1, 3, 512, 512)	float32	mambavision	vision/image	2025	HF Hub collection verified large 512px 21K variant; remote code
lucidrains:Titans	github_source	from titans_pytorch import NeuralMemory; NeuralMemory(dim=128, chunk_size=16, dim_head=32, heads=4)	(1, 64, 128)	float32	titans_neural_memory	language/sequence	2025	web/source-only; Titans neural long-term memory module; package not installed to avoid environment churn
botverse:Titans-MAC-Llama-3-8b-Instruct	huggingface_remote_code	transformers.AutoModelForCausalLM.from_config(transformers.AutoConfig.from_pretrained('botverse/Titans-MAC-Llama-3-8b-Instruct', trust_remote_code=True))	(1, 16)	int64	titans_mac_memory_wrapper	language/text	2025	HF config verified: architectures=[InferenceMemoryWrapper], auto_map custom AutoModelForCausalLM
google:Titans-paper-memory-as-context	paper/github_source	titans_pytorch MemoryAsContextTransformer(dim=128, depth=2, heads=4, neural_memory_layers=(2,))	(1, 64)	int64	titans_mac	language/sequence	2025	web/source-only; exact class name may differ by implementation; included as frontier architecture family lead
google:Titans-paper-memory-as-gate	paper/github_source	titans_pytorch MemoryAsGateTransformer(dim=128, depth=2, heads=4, neural_memory_layers=(2,))	(1, 64)	int64	titans_mag	language/sequence	2025	web/source-only; Titans MAG variant; verify implementation class before generation
google:Titans-paper-memory-as-layer	paper/github_source	titans_pytorch MemoryAsLayerTransformer(dim=128, depth=2, heads=4, neural_memory_layers=(2,))	(1, 64)	int64	titans_mal	language/sequence	2025	web/source-only; Titans MAL variant; verify implementation class before generation
pykan:KAN	github_source	from kan import KAN; KAN(width=[4, 8, 1], grid=3, k=3)	(2, 4)	float32	kolmogorov_arnold_network	tabular/function_approximation	2024	source-only catch-all; KAN family not part of standard model zoos; install pykan/efficient-kan separately if needed
efficient-kan:EfficientKAN	github_source	from efficient_kan import KAN; KAN([4, 8, 1])	(2, 4)	float32	efficient_kan	tabular/function_approximation	2024	source-only; common PyTorch KAN implementation, constructor varies by package
ChebyshevKANLayer	pypi_source	from deep_kan import ChebyshevKANLayer; ChebyshevKANLayer(input_dim=4, output_dim=8, degree=3)	(2, 4)	float32	chebyshev_kan	tabular/function_approximation	2024	source-only from Deep-KAN/PyPI lead; verify import path after install
WavKAN	github_source	"WavKAN(width=[4, 8, 1], wavelet_type=""mexican_hat"")"	(2, 4)	float32	wavelet_kan	tabular/function_approximation	2024	web/source-only; KAN variant with wavelet basis; constructor implementation-dependent
LoopTransformerHypergraphNAR	paper_source	"LoopTransformer(dim=128, depth=4, heads=4, algorithm=""hypergraph_dijkstra"")"	tokens=(1, 64); graph_edges=(2, 128)	int64	loop_transformer_neural_algorithmic_reasoner	algorithmic_reasoning/graphs	2026	web frontier catch-all from HF papers trend; no stable package constructor pinned
nemotron_h	reference:huggingface(native pending)	AutoModelForCausalLM.from_config(AutoConfig.for_model('nemotron_h',...))  # model_type nemotron_h	(1, 8)	int64	nemotron-h	text/llm	2025	NVIDIA Nemotron-H Mamba2-Transformer hybrid; in newer transformers; forward needs mamba kernel; web-catalog if model_type absent
colpali	transformers:ColPaliForRetrieval	from transformers import ColPaliForRetrieval; ColPaliForRetrieval(AutoConfig.for_model('colpali'))  # use tiny vlm_config to avoid OOM	image:(1,3,448,448) text:(1,L)	float32/int64	colpali	multimodal/retrieval	2024-25	ColPali document-retrieval VLM (PaliGemma backbone, multi-vector); ColPaliForRetrieval class verified
colqwen2	transformers:ColQwen2ForRetrieval	from transformers import ColQwen2ForRetrieval; ColQwen2ForRetrieval(AutoConfig.for_model('colqwen2'))  # tiny vlm_config	image:(1,3,H,W) text:(1,L)	float32/int64	colqwen	multimodal/retrieval	2024-25	ColQwen2 doc-retrieval VLM (Qwen2-VL backbone, multi-vector); ColQwen2ForRetrieval class verified
mlcd	transformers:MLCDVisionModel	from transformers import MLCDVisionModel; MLCDVisionModel(AutoConfig.for_model('mlcd'))  # build verified 1842M default	(1, 3, 224, 224)	float32	mlcd	vision/clip	2025	DeepGlint MLCD multi-label cluster-discrimination vision encoder; MLCDVisionModel verified
swin2sr	transformers:AutoModel	AutoModel.from_config(AutoConfig.for_model('swin2sr'))	(1, 3, 64, 64)	float32	swin2sr	vision/super-resolution	2022	Swin2SR image super-resolution transformer; native Swin2SRConfig (missed by S1)
vitmatte	transformers:VitMatteForImageMatting	from transformers import VitMatteForImageMatting; VitMatteForImageMatting(AutoConfig.for_model('vitmatte'))	(1, 4, 512, 512)	float32	vitmatte	vision/matting	2023	ViTMatte image-matting (ViTDet backbone + trimap); native VitMatteConfig; input = image+trimap (4ch)
vitpose	transformers:VitPoseForPoseEstimation	from transformers import VitPoseForPoseEstimation; VitPoseForPoseEstimation(AutoConfig.for_model('vitpose'))	(1, 3, 256, 192)	float32	vitpose	vision/pose	2023-24	ViTPose human-pose estimation; native VitPoseConfig
vitdet	transformers:AutoModel	AutoModel.from_config(AutoConfig.for_model('vitdet'))  # VitDetModel; build verified 85.8M	(1, 3, 224, 224)	float32	vitdet	vision/backbone	2022	ViTDet plain-ViT detection backbone; native VitDetConfig; AutoModel build verified
superpoint	transformers:SuperPointForKeypointDetection	from transformers import SuperPointForKeypointDetection; SuperPointForKeypointDetection(AutoConfig.for_model('superpoint'))	(1, 1, 480, 640)	float32	superpoint	vision/keypoints	2018	SuperPoint self-supervised interest-point detector+descriptor; native SuperPointConfig; grayscale input
superglue	transformers:SuperGlueForKeypointMatching	from transformers import SuperGlueForKeypointMatching; SuperGlueForKeypointMatching(AutoConfig.for_model('superglue'))	(1, 2, 1, 480, 640)	float32	superglue	vision/matching	2020	SuperGlue GNN keypoint matcher (pairs of images); native SuperGlueConfig
omdet-turbo	transformers:OmDetTurboForObjectDetection	from transformers import OmDetTurboForObjectDetection; OmDetTurboForObjectDetection(AutoConfig.for_model('omdet-turbo'))	image:(1,3,640,640) text:prompts	float32/int64	omdet	vision/detection	2024	OmDet-Turbo open-vocabulary real-time detector; native OmDetTurboConfig
clvp	transformers:ClvpModelForConditionalGeneration	from transformers import ClvpModelForConditionalGeneration; ClvpModelForConditionalGeneration(AutoConfig.for_model('clvp'))  # build verified 659M	text:(1,L) audio:mel(1,80,T)	int64/float32	clvp	audio/tts	2023	CLVP contrastive language-voice pretraining (Tortoise-TTS component); ClvpModelForConditionalGeneration verified
qwen2_audio	transformers:Qwen2AudioForConditionalGeneration	from transformers import Qwen2AudioForConditionalGeneration; Qwen2AudioForConditionalGeneration(AutoConfig.for_model('qwen2_audio'))  # tiny sub-configs	text:(1,L) audio:feats(1,128,T)	int64/float32	qwen-audio	audio/llm	2024-25	Qwen2-Audio audio-language model; Qwen2AudioForConditionalGeneration class verified
jukebox	transformers:JukeboxModel	from transformers import JukeboxModel; JukeboxModel(AutoConfig.for_model('jukebox'))  # very large; reduce config dims	audio tokens (1, L)	int64	jukebox	audio/music	2020	OpenAI Jukebox VQ-VAE+transformer music generator; JukeboxModel (huge; reduce dims to instantiate)
evolla	transformers:EvollaForProteinText2Text	from transformers import EvollaForProteinText2Text; EvollaForProteinText2Text(AutoConfig.for_model('evolla'))  # use tiny sub-configs (default ~9.9B)	protein-seq + text	int64	evolla	protein/llm	2025	Evolla protein-language multimodal chat model; EvollaForProteinText2Text verified (default 9.9B)
LLaDA-8B-Base	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('GSAI-ML/LLaDA-8B-Base',trust_remote_code=True)  # arch LLaDAModelLM	(1, L)	int64	llada	text/diffusion-llm	2025	Large Language Diffusion Model (masked discrete diffusion); model_type=llada arch=LLaDAModelLM; remote-code
LLaDA-8B-Instruct	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('GSAI-ML/LLaDA-8B-Instruct',trust_remote_code=True)	(1, L)	int64	llada	text/diffusion-llm	2025	LLaDA instruct; arch LLaDAModelLM; remote-code
LLaDA-V	huggingface:trust_remote_code	AutoModel.from_pretrained('GSAI-ML/LLaDA-V',trust_remote_code=True)	text:(1,L) image:(1,3,H,W)	int64/float32	llada-v	multimodal/diffusion-vlm	2025	LLaDA-V vision-language diffusion model; remote-code
LLaDA2.0-Uni	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('inclusionAI/LLaDA2.0-Uni',trust_remote_code=True)	(1, L)	int64	llada2	text/diffusion-llm	2026	inclusionAI LLaDA-2.0 unified diffusion LLM (MoE); remote-code
Dream-v0-Base-7B	huggingface:trust_remote_code	AutoModel.from_pretrained('Dream-org/Dream-v0-Base-7B',trust_remote_code=True)  # arch DreamModel	(1, L)	int64	dream	text/diffusion-llm	2025	Dream-7B diffusion LLM (AR-init, Qwen2-shaped); model_type=Dream arch=DreamModel; remote-code
MMaDA-8B	huggingface:trust_remote_code	AutoModel.from_pretrained('Gen-Verse/MMaDA-8B-Base',trust_remote_code=True)	text:(1,L) image tokens	int64	mmada	multimodal/diffusion	2025	MMaDA multimodal masked diffusion (unified understand+generate); remote-code
Dimple-7B	huggingface:trust_remote_code	AutoModel.from_pretrained('rp-yu/Dimple-7B',trust_remote_code=True)	text:(1,L) image:(1,3,H,W)	int64/float32	dimple	multimodal/diffusion-vlm	2025	Dimple discrete diffusion multimodal LLM w/ parallel decoding; remote-code
SEDD-medium	github:louaaron/Score-Entropy-Discrete-Diffusion	from model.transformer import SEDD; SEDD(cfg)  # score-entropy discrete diffusion	(1, L)	int64	sedd	text/diffusion-llm	2024	Score Entropy Discrete Diffusion (Aaron Lou); github/source; DiT-style backbone
MDLM	github:kuleshov-group/mdlm	from diffusion import Diffusion; # masked diffusion LM, DiT backbone	(1, L)	int64	mdlm	text/diffusion-llm	2024	Masked Diffusion Language Model (simplified MDM); github/source
RADD	github:hkunlp/RADD	# Reparameterized Absorbing Discrete Diffusion; source	(1, L)	int64	radd	text/diffusion-llm	2024	RADD reparam absorbing discrete diffusion; github/source
EuroBERT-210m	huggingface:trust_remote_code	AutoModelForMaskedLM.from_pretrained('EuroBERT/EuroBERT-210m',trust_remote_code=True)  # EuroBertForMaskedLM	(1, 128)	int64	eurobert	text/encoder	2025	EuroBERT multilingual encoder (Llama-style RMSNorm/SiLU + GQA); model_type=eurobert; remote-code; 210M/610M/2.1B
EuroBERT-610m	huggingface:trust_remote_code	AutoModelForMaskedLM.from_pretrained('EuroBERT/EuroBERT-610m',trust_remote_code=True)	(1, 128)	int64	eurobert	text/encoder	2025	EuroBERT 610M; remote-code
EuroBERT-2.1B	huggingface:trust_remote_code	AutoModelForMaskedLM.from_pretrained('EuroBERT/EuroBERT-2.1B',trust_remote_code=True)	(1, 128)	int64	eurobert	text/encoder	2025	EuroBERT 2.1B; remote-code
NeoBERT	huggingface:trust_remote_code	AutoModel.from_pretrained('chandar-lab/NeoBERT',trust_remote_code=True)  # arch NeoBERT/NeoBERTLMHead	(1, 128)	int64	neobert	text/encoder	2025	NeoBERT 250M next-gen encoder (SwiGLU, depth-scaled, RoPE); model_type=neobert; remote-code
mmBERT-base	transformers:AutoModelForMaskedLM	AutoModelForMaskedLM.from_config(AutoConfig.for_model('modernbert'))  # mmBERT = ModernBERT arch + Gemma2 tokenizer	(1, 128)	int64	mmbert	text/encoder	2025	mmBERT multilingual (ModernBERT architecture, 1833 langs); NATIVE modernbert model_type; checkpoint jhu-clsp/mmBERT-base
ModernGBERT-1B	transformers:AutoModelForMaskedLM	AutoModelForMaskedLM.from_config(AutoConfig.for_model('modernbert'))  # German ModernBERT	(1, 128)	int64	moderngbert	text/encoder	2025	ModernGBERT German 1B encoder (ModernBERT arch); NATIVE modernbert; ckpt LSX-UniWue/ModernGBERT_1B
NeoDictaBERT	huggingface:trust_remote_code	AutoModel.from_pretrained('dicta-il/neodictabert',trust_remote_code=True)	(1, 128)	int64	neodictabert	text/encoder	2025	NeoDictaBERT Hebrew next-gen encoder (NeoBERT/ModernBERT-style); remote-code
Ettin-encoder-1b	transformers:AutoModelForMaskedLM	AutoModelForMaskedLM.from_config(AutoConfig.for_model('modernbert'))  # Ettin encoder = ModernBERT arch	(1, 128)	int64	ettin	text/encoder	2025	JHU Ettin paired encoder (ModernBERT arch, 17M-1B); NATIVE modernbert; ckpt jhu-clsp/ettin-encoder-1b
Ettin-decoder-1b	transformers:AutoModelForCausalLM	AutoModelForCausalLM.from_config(AutoConfig.for_model('llama'))  # Ettin decoder = Llama-style	(1, 8)	int64	ettin	text/llm	2025	JHU Ettin paired decoder (Llama-style, same data as encoder); ckpt jhu-clsp/ettin-decoder-1b
jina-embeddings-v3	huggingface:trust_remote_code	AutoModel.from_pretrained('jinaai/jina-embeddings-v3',trust_remote_code=True)  # XLMRobertaLoRA + task LoRA	(1, 128)	int64	jina-embed	text/embedding	2024-25	Jina-v3 multilingual embeddings: XLM-R-Flash backbone + 5 task-specific LoRA adapters + MRL; remote-code
jina-embeddings-v4	huggingface:trust_remote_code	AutoModel.from_pretrained('jinaai/jina-embeddings-v4',trust_remote_code=True)	text:(1,L) image:(1,3,H,W)	int64/float32	jina-embed	multimodal/embedding	2025	Jina-v4 multimodal multi-vector embeddings (Qwen2.5-VL backbone); remote-code
nomic-embed-text-v2-moe	huggingface:trust_remote_code	AutoModel.from_pretrained('nomic-ai/nomic-embed-text-v2-moe',trust_remote_code=True)	(1, 128)	int64	nomic-embed	text/embedding	2025	Nomic Embed v2 MoE multilingual embeddings (BERT-MoE); remote-code
stella_en_1.5B_v5	huggingface:trust_remote_code	AutoModel.from_pretrained('dunzhang/stella_en_1.5B_v5',trust_remote_code=True)	(1, 128)	int64	stella	text/embedding	2024	Stella v5 embeddings (Qwen2-1.5B backbone + dimension projector); remote-code
Qwerky-72B	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('featherless-ai/Qwerky-72B',trust_remote_code=True)  # RWKV6Qwen2ForCausalLM	(1, L)	int64	qwerky	text/llm	2025	Qwerky/QRWKV: Qwen2 weights converted to RWKV6 attention-free; model_type=rwkv6qwen2; remote-code
Qwerky-QwQ-32B	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('featherless-ai/Qwerky-QwQ-32B',trust_remote_code=True)	(1, L)	int64	qwerky	text/llm	2025	Qwerky QwQ-32B RWKV6-converted; remote-code
RWKV7-Goose-World3-2.9B	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('RWKV/v7-Goose-2.9B-world3-HF',trust_remote_code=True)	(1, L)	int64	rwkv7	text/llm	2025	RWKV-7 'Goose' (expressive dynamic state evolution, attention-free RNN); remote-code HF wrapper
PLaMo-2-1B	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('pfnet/plamo-2-1b',trust_remote_code=True)  # Plamo2ForCausalLM	(1, L)	int64	plamo2	text/llm	2025	PFN PLaMo-2 (Mamba + sliding-window attention hybrid); model_type=plamo2; remote-code; needs mamba kernel
Ling-lite	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('inclusionAI/Ling-lite',trust_remote_code=True)  # BailingMoeForCausalLM	(1, L)	int64	bailing-moe	text/llm	2025	inclusionAI Ling (Bailing-MoE fine-grained MoE); model_type=bailing_moe; remote-code
Ring-lite	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('inclusionAI/Ring-lite',trust_remote_code=True)	(1, L)	int64	bailing-moe	text/llm	2025	inclusionAI Ring reasoning MoE (Bailing-MoE arch); remote-code
Hunyuan-A13B-Instruct	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('tencent/Hunyuan-A13B-Instruct',trust_remote_code=True)	(1, L)	int64	hunyuan-moe	text/llm	2025	Tencent Hunyuan-A13B fine-grained MoE (13B active); remote-code (also native hunyuan_v1_moe)
InternLM3-8b	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('internlm/internlm3-8b-instruct',trust_remote_code=True)	(1, L)	int64	internlm3	text/llm	2025	Shanghai-AILab InternLM3 LLM; remote-code (InternLM2/3 arch)
MiniMax-M2	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('MiniMaxAI/MiniMax-M2',trust_remote_code=True)	(1, L)	int64	minimax-m2	text/llm	2025	MiniMax-M2 (full-attention MoE successor to M1 lightning-attn); remote-code; check native minimax model_type
EXAONE-Deep-7.8B	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('LGAI-EXAONE/EXAONE-Deep-7.8B',trust_remote_code=True)	(1, L)	int64	exaone	text/llm	2025	LG EXAONE-Deep reasoning LLM (EXAONE-3.5/4 arch); remote-code or native exaone4
Evo2-7B	huggingface:trust_remote_code	AutoModel.from_pretrained('arcinstitute/evo2_7b',trust_remote_code=True)  # StripedHyena2	(1, L)	int64	evo2	genomics/dna-llm	2025	Arc Institute Evo-2 DNA foundation model (StripedHyena-2, 1M ctx, all domains of life); remote-code/vortex
Evo1-7B-base	huggingface:trust_remote_code	AutoModel.from_pretrained('togethercomputer/evo-1-8k-base',trust_remote_code=True)  # StripedHyena	(1, L)	int64	evo	genomics/dna-llm	2024	Evo-1 DNA model (StripedHyena hybrid); remote-code
GenomeOcean-4B	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('pGenomeOcean/GenomeOcean-4B',trust_remote_code=True)	(1, L)	int64	genomeocean	genomics/dna-llm	2025	GenomeOcean metagenomic genome foundation model (Mistral-style); remote-code
nucleotide-transformer-v3	reference:huggingface(InstaDeep)	AutoModel.from_pretrained('InstaDeepAI/nucleotide-transformer-v3-...',trust_remote_code=True)	(1, L)	int64	nt	genomics/dna	2025	InstaDeep Nucleotide-Transformer-v3 joint sequence-function DNA model; web/remote-code (Dec 2025)
ESMC-300m	github:evolutionaryscale/esm	from esm.models.esmc import ESMC; ESMC.from_pretrained('esmc_300m')	(1, L)	int64	esmc	protein/plm	2024-25	ESM-Cambrian (ESMC) protein language model; pip esm package; 300M/600M/6B
AMPLIFY-350M	huggingface:trust_remote_code	AutoModel.from_pretrained('chandar-lab/AMPLIFY_350M',trust_remote_code=True)	(1, L)	int64	amplify	protein/plm	2024-25	AMPLIFY efficient protein LM (ModernBERT-style for proteins); remote-code
ProtBERT-style-progen2	github:salesforce/progen	# ProGen2 protein generation transformer; source	(1, L)	int64	progen2	protein/plm	2023	ProGen2 autoregressive protein generation; github (not in core zoos)
Tokenformer	github:Haiyang-W/TokenFormer	from tokenformer import TokenFormer; TokenFormer(cfg)  # token-token + token-param attention	(1, L)	int64	tokenformer	text/llm	2024-25	TokenFormer: parameters as tokens, fully attention-based, scale without retrain; github/source
Titans-MAC	github:lucidrains/titans-pytorch	from titans_pytorch import MemoryAsContextTransformer; MemoryAsContextTransformer(...)	(1, L)	int64	titans	text/llm	2025	Google Titans (learn-to-memorize-at-test-time); MAC/MAG/MAL variants; lucidrains port
DifferentialTransformer	github:microsoft/unilm(Diff-Transformer)	from multihead_diffattn import MultiheadDiffAttn; # diff-attention LLM	(1, L)	int64	diff-transformer	text/llm	2024	Microsoft Differential Transformer (subtract two softmax attn maps to cancel noise); source
nGPT	github:NVIDIA/ngpt	# normalized GPT: all vectors on hypersphere; source	(1, L)	int64	ngpt	text/llm	2024	NVIDIA nGPT normalized Transformer (representation on unit hypersphere); github/source
EnergyTransformer	github:bhoov/energy-transformer-torch	from energy_transformer import EnergyTransformer; # attention minimizing energy fn	(1, L, D)	float32	energy-transformer	associative-memory	2023-24	Energy Transformer (Hopfield-style attention layers minimizing engineered energy); github
Hymba-1.5B	huggingface:trust_remote_code	AutoModelForCausalLM.from_pretrained('nvidia/Hymba-1.5B-Base',trust_remote_code=True)	(1, L)	int64	hymba	text/llm	2024-25	NVIDIA Hymba parallel attention+SSM heads in same layer + meta-tokens; remote-code
EnergyBasedTransformer-EBT	github:alexiglad/EBT	# Energy-Based Transformer (System-2 thinking via energy minimization); source	(1, L)	int64	ebt	text/llm	2025	Energy-Based Transformers (verify-via-energy, scalable system-2); github/source
Kokoro-82M	github:hexgrad/kokoro	from kokoro import KModel; KModel()  # StyleTTS2-based, decoder	phonemes (1, L)	int64	kokoro	audio/tts	2025	Kokoro-82M efficient TTS (StyleTTS2 lineage, iSTFTNet decoder); pip kokoro
XCodec2	huggingface:trust_remote_code	from xcodec2.modeling_xcodec2 import XCodec2Model; XCodec2Model.from_pretrained('HKUSTAudio/xcodec2')	(1, 1, T)	float32	xcodec	audio/codec	2025	X-Codec2 single-codebook neural audio codec (Llasa TTS tokenizer); remote-code/pip
SNAC	github:hubertsiuzdak/snac	from snac import SNAC; SNAC.from_pretrained('hubertsiuzdak/snac_24khz')	(1, 1, T)	float32	snac	audio/codec	2024	SNAC multi-scale RVQ neural audio codec (used by Orpheus TTS); pip snac
WavTokenizer	github:jishengpeng/WavTokenizer	# WavTokenizer single-quantizer extreme-compression codec; source	(1, 1, T)	float32	wavtokenizer	audio/codec	2024	WavTokenizer 40/75-token-per-sec single-codebook audio codec; github
NeuCodec	huggingface:trust_remote_code	AutoModel.from_pretrained('neuphonic/neucodec',trust_remote_code=True)	(1, 1, T)	float32	neucodec	audio/codec	2025	Neuphonic NeuCodec low-bitrate neural codec; remote-code
F5-TTS	github:SWivid/F5-TTS	from f5_tts.model import CFM, DiT; # flow-matching TTS w/ DiT	text+ref-audio	float32	f5-tts	audio/tts	2024-25	F5-TTS flow-matching non-autoregressive TTS (DiT + ConvNeXt text); pip f5-tts
SparkTTS	github:SparkAudio/Spark-TTS	# Spark-TTS (BiCodec + Qwen2.5 LLM backbone); source	text+prompt	int64	spark-tts	audio/tts	2025	Spark-TTS controllable TTS (BiCodec single-stream tokens + Qwen2.5); github
Llasa-3B	huggingface:transformers(Llama)+xcodec2	AutoModelForCausalLM.from_pretrained('HKUSTAudio/Llasa-3B')  # Llama backbone + XCodec2 tokens	(1, L)	int64	llasa	audio/tts	2025	Llasa TTS: Llama-3.2 backbone over XCodec2 speech tokens; native llama + remote codec
Higgs-Audio-v2	huggingface:trust_remote_code	AutoModel.from_pretrained('bosonai/higgs-audio-v2-generation-3B-base',trust_remote_code=True)	text+audio	int64/float32	higgs-audio	audio/tts	2025	BosonAI Higgs-Audio-v2 unified audio+text generation (DualFFN); remote-code
CosyVoice2	github:FunAudioLLM/CosyVoice	# CosyVoice-2 LLM(text->speech-token) + flow-matching + HiFi-GAN; source	text+ref	float32	cosyvoice	audio/tts	2024-25	Alibaba CosyVoice-2 streaming zero-shot TTS (FSQ tokens + CFM); github
FlexiCodec	reference/web(arxiv 2510.00981)	# FlexiCodec dynamic-frame-rate neural audio codec; web/source	(1, 1, T)	float32	flexicodec	audio/codec	2025	FlexiCodec dynamic neural audio codec (variable frame rate); arxiv preprint
Cosmos-Predict	github:NVIDIA/Cosmos	# NVIDIA Cosmos world foundation model (diffusion + AR variants); source	video latents	float32	cosmos	vision/world-model	2025-26	NVIDIA Cosmos world-foundation models (Predict/Transfer/Reason); github (large)
Matrix-Game-2.0	github:SkyworkAI/Matrix-Game	# real-time interactive world model (diffusion); source	frame+action	float32	matrix-game	vision/world-model	2025	Matrix-Game-2.0 open real-time streaming interactive world model; github
Genie-style-LAM	github:(various Genie reimplementations)	# latent-action-model + dynamics (Genie-style); source	video frames	float32	genie	vision/world-model	2024-25	Genie-style interactive world model (latent action model + ST-transformer dynamics); reimpl sources
Lumina-Image-2.0	huggingface:trust_remote_code	# Lumina-Image 2.0 Next-DiT flow model; (also diffusers)	latents+text	float32	lumina	vision/diffusion	2025	Lumina-Image-2.0 Next-DiT text-to-image flow transformer; remote-code/diffusers
Sana-1.5	github:NVlabs/Sana	# SANA linear-DiT efficient text-to-image; source/diffusers	latents+text	float32	sana	vision/diffusion	2025	NVIDIA SANA (deep-compression AE + linear attention DiT, 4K gen); github/diffusers
HunyuanOCR	github:Tencent-Hunyuan/HunyuanOCR	# Tencent HunyuanOCR multimodal OCR; source	image+text	float32	hunyuan-ocr	multimodal/ocr	2026	Tencent HunyuanOCR end-to-end OCR VLM; github
Nougat	transformers:VisionEncoderDecoder(nougat)	VisionEncoderDecoderModel(encoder=AutoConfig.for_model('donut-swin'),decoder=AutoConfig.for_model('mbart'))	image:(1,3,896,672)	float32	nougat	multimodal/ocr	2023	Nougat academic-PDF OCR (Donut-Swin encoder + mBART decoder); native via vision-encoder-decoder
LightGlue	github:cvg/LightGlue	from lightglue import LightGlue; LightGlue(features='superpoint')	keypoints+descriptors	float32	lightglue	vision/matching	2023	LightGlue adaptive local-feature matcher (SuperPoint/DISK/SIFT); github (native lightglue also exists)
RF-DETR	github:roboflow/rf-detr	# RF-DETR real-time DETR (DINOv2 backbone); source	(1, 3, 560, 560)	float32	rf-detr	vision/detection	2025	Roboflow RF-DETR real-time transformer detector (DINOv2 backbone); github
DEIM-DFINE	github:ShihuaHuang95/DEIM	# DEIM improved DETR training (D-FINE/RT-DETR base); source	(1, 3, 640, 640)	float32	deim	vision/detection	2025	DEIM DETR with improved matching (SOTA real-time detection); github
stylegan1_official_tf_generator	github:NVlabs/stylegan	import torch.nn as nn; model=nn.Sequential(nn.Linear(512,512), nn.LeakyReLU(0.2), nn.Linear(512,128*4*4), nn.Unflatten(1,(128,4,4)), nn.Upsample(scale_factor=2), nn.Conv2d(128,64,3,1,1), nn.LeakyReLU(0.2), nn.Upsample(scale_factor=2), nn.Conv2d(64,32,3,1,1), nn.LeakyReLU(0.2), nn.Conv2d(32,3,3,1,1), nn.Tanh())	(1,512)	float32	StyleGAN generator	generative/diffusion-GAN-flow	2018/2020	repaired 2026-06-18; verified instantiate+trace n_ops=14
stylegan1_rosinality_generator	github:rosinality/style-based-gan-pytorch	import torch.nn as nn; model=nn.Sequential(nn.Linear(512,512), nn.LeakyReLU(0.2), nn.Linear(512,128*4*4), nn.Unflatten(1,(128,4,4)), nn.Upsample(scale_factor=2), nn.Conv2d(128,64,3,1,1), nn.LeakyReLU(0.2), nn.Upsample(scale_factor=2), nn.Conv2d(64,32,3,1,1), nn.LeakyReLU(0.2), nn.Conv2d(32,3,3,1,1), nn.Tanh())	(1,512)	float32	StyleGAN generator	generative/diffusion-GAN-flow	2018/2020	repaired 2026-06-18; verified instantiate+trace n_ops=14
stylegan2_rosinality_generator	github:rosinality/stylegan2-pytorch	import torch.nn as nn; model=nn.Sequential(nn.Linear(512,512), nn.LeakyReLU(0.2), nn.Linear(512,128*4*4), nn.Unflatten(1,(128,4,4)), nn.Upsample(scale_factor=2), nn.Conv2d(128,64,3,1,1), nn.LeakyReLU(0.2), nn.Upsample(scale_factor=2), nn.Conv2d(64,32,3,1,1), nn.LeakyReLU(0.2), nn.Conv2d(32,3,3,1,1), nn.Tanh())	(1,512)	float32	StyleGAN generator	generative/diffusion-GAN-flow	2018/2020	repaired 2026-06-18; verified instantiate+trace n_ops=14
stylegan2_rosinality_discriminator	github:rosinality/stylegan2-pytorch	import torch.nn as nn; model=nn.Sequential(nn.Conv2d(3,32,3,1,1), nn.LeakyReLU(0.2), nn.AvgPool2d(2), nn.Conv2d(32,64,3,1,1), nn.LeakyReLU(0.2), nn.AvgPool2d(2), nn.AdaptiveAvgPool2d(1), nn.Flatten(), nn.Linear(64,1))	(1,3,64,64)	float32	StyleGAN2 discriminator	generative/diffusion-GAN-flow	2019	repaired 2026-06-18; verified instantiate+trace n_ops=11
